asset,mode,size,transparent_px,opaque_px,edge_transparent_pct
exp3_farm_carrot.png,RGBA,64x64,2618,1478,100.0
exp3_farm_corn.png,RGBA,64x64,2683,1413,100.0
exp3_farm_hay_bale.png,RGBA,64x64,1581,2515,100.0
exp3_farm_hoe.png,RGBA,64x64,3004,1092,100.0
exp3_farm_milk_bottle.png,RGBA,64x64,2600,1496,100.0
exp3_farm_seed_bag.png,RGBA,64x64,1595,2501,100.0
exp3_farm_tomato.png,RGBA,64x64,1447,2649,100.0
exp3_farm_watering_can.png,RGBA,64x64,2306,1790,100.0
exp3_farm_wheat_sheaf.png,RGBA,64x64,1986,2110,100.0
exp3_farm_wooden_crate.png,RGBA,64x64,496,3600,100.0
exp3_forest_berry_branch.png,RGBA,64x64,534,3562,100.0
exp3_forest_hand_axe.png,RGBA,64x64,571,3525,100.0
exp3_forest_herb_bundle.png,RGBA,64x64,1108,2988,100.0
exp3_forest_lantern.png,RGBA,64x64,500,3596,100.0
exp3_forest_log_bundle.png,RGBA,64x64,998,3098,100.0
exp3_forest_pine_cone.png,RGBA,64x64,844,3252,100.0
exp3_forest_red_mushroom.png,RGBA,64x64,496,3600,100.0
exp3_forest_rope_coil.png,RGBA,64x64,709,3387,100.0
exp3_forest_sapling.png,RGBA,64x64,606,3490,100.0
exp3_forest_stone_ore.png,RGBA,64x64,574,3522,100.0
