asset,mode,size,edge_semialpha_pixels,suspicious_pixels,halo_ratio,distance_p95,flag_halo
exp3_farm_carrot.png,RGBA,64x64,236,175,0.7415,203.602,True
exp3_farm_corn.png,RGBA,64x64,244,173,0.709,337.208,True
exp3_farm_hay_bale.png,RGBA,64x64,206,183,0.8883,212.728,True
exp3_farm_hoe.png,RGBA,64x64,238,195,0.8193,207.131,True
exp3_farm_milk_bottle.png,RGBA,64x64,114,100,0.8772,216.178,True
exp3_farm_seed_bag.png,RGBA,64x64,246,181,0.7358,224.017,True
exp3_farm_tomato.png,RGBA,64x64,316,230,0.7278,224.059,True
exp3_farm_watering_can.png,RGBA,64x64,210,167,0.7952,214.189,True
exp3_farm_wheat_sheaf.png,RGBA,64x64,282,224,0.7943,267.596,True
exp3_farm_wooden_crate.png,RGBA,64x64,4,4,1.0,67.472,True
exp3_forest_berry_branch.png,RGBA,64x64,172,0,0.0,0.0,False
exp3_forest_hand_axe.png,RGBA,64x64,206,49,0.2379,138.564,True
exp3_forest_herb_bundle.png,RGBA,64x64,1221,64,0.0524,43.869,False
exp3_forest_lantern.png,RGBA,64x64,20,16,0.8,123.122,True
exp3_forest_log_bundle.png,RGBA,64x64,1005,76,0.0756,88.572,False
exp3_forest_pine_cone.png,RGBA,64x64,769,73,0.0949,365.669,False
exp3_forest_red_mushroom.png,RGBA,64x64,156,0,0.0,0.0,False
exp3_forest_rope_coil.png,RGBA,64x64,613,46,0.075,387.229,False
exp3_forest_sapling.png,RGBA,64x64,378,150,0.3968,116.173,True
exp3_forest_stone_ore.png,RGBA,64x64,229,29,0.1266,269.279,False
