asset,mode,size,edge_semialpha_pixels,suspicious_pixels,halo_ratio,distance_p95,flag_halo
exp3_farm_carrot.png,RGBA,64x64,236,147,0.6229,59.718,True
exp3_farm_corn.png,RGBA,64x64,244,96,0.3934,59.448,True
exp3_farm_hay_bale.png,RGBA,64x64,206,152,0.7379,58.499,True
exp3_farm_hoe.png,RGBA,64x64,238,162,0.6807,59.702,True
exp3_farm_milk_bottle.png,RGBA,64x64,114,86,0.7544,59.923,True
exp3_farm_seed_bag.png,RGBA,64x64,246,149,0.6057,59.845,True
exp3_farm_tomato.png,RGBA,64x64,316,142,0.4494,59.721,True
exp3_farm_watering_can.png,RGBA,64x64,210,156,0.7429,59.795,True
exp3_farm_wheat_sheaf.png,RGBA,64x64,282,176,0.6241,59.698,True
exp3_farm_wooden_crate.png,RGBA,64x64,4,4,1.0,45.205,True
exp3_forest_berry_branch.png,RGBA,64x64,172,0,0.0,0.0,False
exp3_forest_hand_axe.png,RGBA,64x64,206,15,0.0728,53.131,False
exp3_forest_herb_bundle.png,RGBA,64x64,1221,44,0.036,37.422,False
exp3_forest_lantern.png,RGBA,64x64,20,12,0.6,59.038,True
exp3_forest_log_bundle.png,RGBA,64x64,1005,53,0.0527,42.356,False
exp3_forest_pine_cone.png,RGBA,64x64,769,27,0.0351,58.202,False
exp3_forest_red_mushroom.png,RGBA,64x64,156,0,0.0,0.0,False
exp3_forest_rope_coil.png,RGBA,64x64,613,6,0.0098,52.938,False
exp3_forest_sapling.png,RGBA,64x64,378,60,0.1587,53.694,True
exp3_forest_stone_ore.png,RGBA,64x64,229,8,0.0349,54.856,False
