asset,mode,size,edge_semialpha_pixels,suspicious_pixels,bg_suspicious_pixels,halo_ratio,bg_halo_ratio,distance_p95,bg_distance_p05,flag_halo
exp3_farm_carrot.png,RGBA,64x64,236,147,0,0.6229,0.0,59.718,123.863,True
exp3_farm_corn.png,RGBA,64x64,244,96,0,0.3934,0.0,59.448,166.367,True
exp3_farm_hay_bale.png,RGBA,64x64,206,152,0,0.7379,0.0,58.499,153.379,True
exp3_farm_hoe.png,RGBA,64x64,238,162,0,0.6807,0.0,59.702,164.618,True
exp3_farm_milk_bottle.png,RGBA,64x64,114,86,0,0.7544,0.0,59.923,155.467,True
exp3_farm_seed_bag.png,RGBA,64x64,246,149,0,0.6057,0.0,59.845,167.911,True
exp3_farm_tomato.png,RGBA,64x64,316,142,0,0.4494,0.0,59.721,133.735,True
exp3_farm_watering_can.png,RGBA,64x64,210,156,0,0.7429,0.0,59.795,155.119,True
exp3_farm_wheat_sheaf.png,RGBA,64x64,282,176,0,0.6241,0.0,59.698,225.009,True
exp3_farm_wooden_crate.png,RGBA,64x64,4,4,0,1.0,0.0,45.205,177.217,True
exp3_forest_berry_branch.png,RGBA,64x64,172,0,0,0.0,0.0,0.0,0.0,False
exp3_forest_hand_axe.png,RGBA,64x64,206,15,0,0.0728,0.0,53.131,207.935,False
exp3_forest_herb_bundle.png,RGBA,64x64,1221,44,0,0.036,0.0,37.422,233.48,False
exp3_forest_lantern.png,RGBA,64x64,20,12,0,0.6,0.0,59.038,208.713,True
exp3_forest_log_bundle.png,RGBA,64x64,1005,53,0,0.0527,0.0,42.356,231.73,False
exp3_forest_pine_cone.png,RGBA,64x64,769,27,0,0.0351,0.0,58.202,212.812,False
exp3_forest_red_mushroom.png,RGBA,64x64,156,0,0,0.0,0.0,0.0,0.0,False
exp3_forest_rope_coil.png,RGBA,64x64,613,6,0,0.0098,0.0,52.938,213.544,False
exp3_forest_sapling.png,RGBA,64x64,378,60,0,0.1587,0.0,53.694,208.235,True
exp3_forest_stone_ore.png,RGBA,64x64,229,8,0,0.0349,0.0,54.856,208.569,False
