asset,mode,size,edge_semialpha_pixels,suspicious_pixels,bg_suspicious_pixels,halo_ratio,bg_halo_ratio,distance_p95,bg_distance_p05,flag_fail_bg,flag_warn_edge,production_pass
exp3_farm_carrot.png,RGBA,64x64,236,175,10,0.7415,0.0424,203.602,15.524,False,True,True
exp3_farm_corn.png,RGBA,64x64,244,173,56,0.709,0.2295,337.208,4.123,True,True,False
exp3_farm_hay_bale.png,RGBA,64x64,206,183,22,0.8883,0.1068,212.728,31.765,True,True,False
exp3_farm_hoe.png,RGBA,64x64,238,195,11,0.8193,0.0462,207.131,27.495,False,True,True
exp3_farm_milk_bottle.png,RGBA,64x64,114,100,10,0.8772,0.0877,216.178,21.0,True,True,False
exp3_farm_seed_bag.png,RGBA,64x64,246,181,58,0.7358,0.2358,224.017,8.544,True,True,False
exp3_farm_tomato.png,RGBA,64x64,316,230,30,0.7278,0.0949,224.059,28.896,True,True,False
exp3_farm_watering_can.png,RGBA,64x64,210,167,18,0.7952,0.0857,214.189,17.916,True,True,False
exp3_farm_wheat_sheaf.png,RGBA,64x64,282,224,21,0.7943,0.0745,267.596,18.974,False,True,True
exp3_farm_wooden_crate.png,RGBA,64x64,4,4,0,1.0,0.0,67.472,155.775,False,True,True
exp3_forest_berry_branch.png,RGBA,64x64,172,0,0,0.0,0.0,0.0,0.0,False,False,True
exp3_forest_hand_axe.png,RGBA,64x64,206,49,0,0.2379,0.0,138.564,208.223,False,True,True
exp3_forest_herb_bundle.png,RGBA,64x64,1221,64,0,0.0524,0.0,43.869,238.363,False,False,True
exp3_forest_lantern.png,RGBA,64x64,20,16,0,0.8,0.0,123.122,209.955,False,True,True
exp3_forest_log_bundle.png,RGBA,64x64,1005,76,0,0.0756,0.0,88.572,253.016,False,False,True
exp3_forest_pine_cone.png,RGBA,64x64,769,73,0,0.0949,0.0,365.669,213.0,False,False,True
exp3_forest_red_mushroom.png,RGBA,64x64,156,0,0,0.0,0.0,0.0,0.0,False,False,True
exp3_forest_rope_coil.png,RGBA,64x64,613,46,0,0.075,0.0,387.229,219.957,False,False,True
exp3_forest_sapling.png,RGBA,64x64,378,150,0,0.3968,0.0,116.173,208.235,False,True,True
exp3_forest_stone_ore.png,RGBA,64x64,229,29,0,0.1266,0.0,269.279,215.56,False,False,True
