asset,mode,size,edge_semialpha_pixels,suspicious_pixels,bg_suspicious_pixels,halo_ratio,bg_halo_ratio,distance_p95,bg_distance_p05,flag_halo
exp3_farm_carrot.png,RGBA,64x64,236,175,11,0.7415,0.0466,203.602,15.524,True
exp3_farm_corn.png,RGBA,64x64,244,173,56,0.709,0.2295,337.208,4.123,True
exp3_farm_hay_bale.png,RGBA,64x64,206,183,22,0.8883,0.1068,212.728,31.765,True
exp3_farm_hoe.png,RGBA,64x64,238,195,11,0.8193,0.0462,207.131,27.495,True
exp3_farm_milk_bottle.png,RGBA,64x64,114,100,10,0.8772,0.0877,216.178,21.0,True
exp3_farm_seed_bag.png,RGBA,64x64,246,181,58,0.7358,0.2358,224.017,8.544,True
exp3_farm_tomato.png,RGBA,64x64,316,230,32,0.7278,0.1013,224.059,28.896,True
exp3_farm_watering_can.png,RGBA,64x64,210,167,20,0.7952,0.0952,214.189,17.916,True
exp3_farm_wheat_sheaf.png,RGBA,64x64,282,224,23,0.7943,0.0816,267.596,18.974,True
exp3_farm_wooden_crate.png,RGBA,64x64,4,4,0,1.0,0.0,67.472,155.775,True
exp3_forest_berry_branch.png,RGBA,64x64,172,0,0,0.0,0.0,0.0,0.0,False
exp3_forest_hand_axe.png,RGBA,64x64,206,49,34,0.2379,0.165,138.564,40.423,True
exp3_forest_herb_bundle.png,RGBA,64x64,1221,64,1216,0.0524,0.9959,43.869,19.053,True
exp3_forest_lantern.png,RGBA,64x64,20,16,10,0.8,0.5,123.122,6.928,True
exp3_forest_log_bundle.png,RGBA,64x64,1005,76,1002,0.0756,0.997,88.572,1.732,True
exp3_forest_pine_cone.png,RGBA,64x64,769,73,63,0.0949,0.0819,365.669,10.392,True
exp3_forest_red_mushroom.png,RGBA,64x64,156,0,0,0.0,0.0,0.0,0.0,False
exp3_forest_rope_coil.png,RGBA,64x64,613,46,41,0.075,0.0669,387.229,1.732,False
exp3_forest_sapling.png,RGBA,64x64,378,150,367,0.3968,0.9709,116.173,1.0,True
exp3_forest_stone_ore.png,RGBA,64x64,229,29,40,0.1266,0.1747,269.279,25.417,True
